capture_id,hand_index,hand_label,landmark_index,x,y,z
0,0,Left,0,0.19857680797576904,0.8346940875053406,6.244234214136668e-07
0,0,Left,1,0.27835264801979065,0.8225651979446411,-0.05474737659096718
0,0,Left,2,0.34886932373046875,0.7699479460716248,-0.07873351871967316
0,0,Left,3,0.4131523668766022,0.7361700534820557,-0.09739591926336288
0,0,Left,4,0.47088462114334106,0.7157959938049316,-0.11590270698070526
0,0,Left,5,0.3094669580459595,0.5818748474121094,-0.05432165414094925
0,0,Left,6,0.34774014353752136,0.4709292948246002,-0.08035305887460709
0,0,Left,7,0.3718794882297516,0.4014105498790741,-0.1003635823726654
0,0,Left,8,0.38988688588142395,0.3386968970298767,-0.11701567471027374
0,0,Left,9,0.257876992225647,0.552818238735199,-0.05130999535322189
0,0,Left,10,0.28492242097854614,0.42447707056999207,-0.07628773152828217
0,0,Left,11,0.30393683910369873,0.3411799371242523,-0.09963122755289078
0,0,Left,12,0.31564512848854065,0.2694549262523651,-0.11811239272356033
0,0,Left,13,0.20476888120174408,0.5593581795692444,-0.05395875498652458
0,0,Left,14,0.20821112394332886,0.4360876679420471,-0.08584322035312653
0,0,Left,15,0.2139488011598587,0.3542677164077759,-0.11257416009902954
0,0,Left,16,0.21918568015098572,0.28240305185317993,-0.13077004253864288
0,0,Left,17,0.15339365601539612,0.5912133455276489,-0.06107635796070099
0,0,Left,18,0.1410272717475891,0.5032830834388733,-0.09417735785245895
0,0,Left,19,0.1335143893957138,0.442443311214447,-0.11386275291442871
0,0,Left,20,0.13055819272994995,0.3827982246875763,-0.12692369520664215
1,0,Right,0,0.8060264587402344,0.5496839880943298,1.2176099062344292e-07
1,0,Right,1,0.7634725570678711,0.5782403945922852,-0.030394211411476135
1,0,Right,2,0.71706223487854,0.5842285752296448,-0.04659726470708847
1,0,Right,3,0.6960312724113464,0.5380441546440125,-0.06300089508295059
1,0,Right,4,0.6791685223579407,0.48416200280189514,-0.0771385133266449
1,0,Right,5,0.6401437520980835,0.5306298136711121,-0.015891829505562782
1,0,Right,6,0.5850305557250977,0.5391789674758911,-0.04107791930437088
1,0,Right,7,0.5463012456893921,0.5440614223480225,-0.061055079102516174
1,0,Right,8,0.5116941928863525,0.5421380400657654,-0.07359181344509125
1,0,Right,9,0.6521630883216858,0.48332324624061584,-0.018369071185588837
1,0,Right,10,0.5863340497016907,0.4474810063838959,-0.041653603315353394
1,0,Right,11,0.5458271503448486,0.42166242003440857,-0.056061845272779465
1,0,Right,12,0.5129297375679016,0.39779847860336304,-0.06344997882843018
1,0,Right,13,0.6806799173355103,0.44930028915405273,-0.025795157998800278
1,0,Right,14,0.650313675403595,0.42978647351264954,-0.061792220920324326
1,0,Right,15,0.6872774362564087,0.47310754656791687,-0.06534266471862793
1,0,Right,16,0.7153062224388123,0.5025070309638977,-0.05740387737751007
1,0,Right,17,0.7189249396324158,0.4244319796562195,-0.03596358001232147
1,0,Right,18,0.6931763887405396,0.41328567266464233,-0.06216658651828766
1,0,Right,19,0.7129215002059937,0.4522561728954315,-0.05750294402241707
1,0,Right,20,0.7317694425582886,0.4807402193546295,-0.04763633385300636
2,0,Left,0,0.46424102783203125,0.9402453899383545,-2.7953873882324842e-08
2,0,Left,1,0.36425894498825073,0.8405796885490417,-0.014494601637125015
2,0,Left,2,0.30664509534835815,0.7264367938041687,-0.025274470448493958
2,0,Left,3,0.26898276805877686,0.6220206618309021,-0.03654935583472252
2,0,Left,4,0.22537437081336975,0.5613788962364197,-0.04860389232635498
2,0,Left,5,0.42991217970848083,0.5604447722434998,-0.006262977607548237
2,0,Left,6,0.41133207082748413,0.40816670656204224,-0.015452996827661991
2,0,Left,7,0.40472903847694397,0.32396018505096436,-0.02455039694905281
2,0,Left,8,0.40245893597602844,0.2577604055404663,-0.030507858842611313
2,0,Left,9,0.4969291687011719,0.5593527555465698,-0.00518053350970149
2,0,Left,10,0.4956091046333313,0.39449095726013184,-0.008267052471637726
2,0,Left,11,0.498820960521698,0.2966620922088623,-0.009718045592308044
2,0,Left,12,0.499515563249588,0.22975045442581177,-0.011402193456888199
2,0,Left,13,0.5491767525672913,0.5945215821266174,-0.0069213612005114555
2,0,Left,14,0.5598661303520203,0.4449286460876465,-0.012825775891542435
2,0,Left,15,0.5698586106300354,0.35039281845092773,-0.019351519644260406
2,0,Left,16,0.573310375213623,0.2802022695541382,-0.02252916619181633
2,0,Left,17,0.590997576713562,0.6512840986251831,-0.010374021716415882
2,0,Left,18,0.6283626556396484,0.5491924285888672,-0.015160484239459038
2,0,Left,19,0.6449843645095825,0.48132002353668213,-0.017239782959222794
2,0,Left,20,0.6548762917518616,0.4207713305950165,-0.016850121319293976
