capture_id,hand_index,handedness,landmark_idx,x_norm,y_norm,z_norm,x_pixel,y_pixel,depth_meters,x_meters,y_meters,z_meters
1,0,Right,0,0.6923142671585083,0.5035501718521118,1.6765238797233906e-07,443,241,0.7780000567436218,0.24718043208122253,0.0027281446382403374,0.7780000567436218
1,0,Right,1,0.6590776443481445,0.45720717310905457,-0.01896503008902073,421,219,0.7860000133514404,0.2049880027770996,-0.0419778935611248,0.7860000133514404
1,0,Right,2,0.6254157423973083,0.4329037070274353,-0.02131214551627636,400,207,0.7720000147819519,0.1593966782093048,-0.06519599258899689,0.7720000147819519
1,0,Right,3,0.5964462161064148,0.42131611704826355,-0.02263686992228031,381,202,0.7680000066757202,0.12082155048847198,-0.07479219883680344,0.7680000066757202
1,0,Right,4,0.5732400417327881,0.41261425614356995,-0.02327759377658367,366,198,0.7710000276565552,0.09137506783008575,-0.08306261152029037,0.7710000276565552
1,0,Right,5,0.5837326645851135,0.4856128394603729,0.004790022503584623,373,233,0.7830000519752502,0.10697650164365768,-0.013459177687764168,0.7830000519752502
1,0,Right,6,0.5465184450149536,0.48461297154426575,0.0038097165524959564,349,232,0.7870000600814819,0.058660078793764114,-0.015563888475298882,0.7870000600814819
1,0,Right,7,0.5249931812286377,0.48773857951164246,-0.001824234495870769,335,234,0.7820000648498535,0.029965119436383247,-0.011418968439102173,0.7820000648498535
1,0,Right,8,0.5054934024810791,0.49350565671920776,-0.007407893426716328,323,236,0.7890000343322754,0.005739802494645119,-0.00743892602622509,0.7890000343322754
1,0,Right,9,0.5849539637565613,0.5189657807350159,0.008957927115261555,374,249,0.7830000519752502,0.10900210589170456,0.018950533121824265,0.7830000519752502
1,0,Right,10,0.5456389784812927,0.5314516425132751,0.00867493450641632,349,255,0.7940000295639038,0.059181831777095795,0.031541142612695694,0.7940000295639038
1,0,Right,11,0.5221392512321472,0.540864884853363,0.0008053245255723596,334,259,0.796000063419342,0.028442339971661568,0.039857544004917145,0.796000063419342
1,0,Right,12,0.5036476254463196,0.5508369207382202,-0.006485791876912117,322,264,0.0,0.0,0.0,0.0
1,0,Right,13,0.593741774559021,0.5466089844703674,0.009622006677091122,379,262,0.7790000438690186,0.118521548807621,0.04505208879709244,0.7790000438690186
1,0,Right,14,0.5572336316108704,0.5669054388999939,0.005881673656404018,356,272,0.8020000457763672,0.07430144399404526,0.06712985038757324,0.8020000457763672
1,0,Right,15,0.5364257097244263,0.5786455273628235,-0.003015033667907119,343,277,0.8080000281333923,0.047683652490377426,0.07808347046375275,0.8080000281333923
1,0,Right,16,0.5192235708236694,0.5897855162620544,-0.010274392552673817,332,283,0.796000063419342,0.02432386577129364,0.08927924931049347,0.796000063419342
1,0,Right,17,0.6072096824645996,0.5699091553688049,0.007847225293517113,388,273,0.7770000100135803,0.13630802929401398,0.0670473575592041,0.7770000100135803
1,0,Right,18,0.5828285217285156,0.5930538177490234,0.0017638158751651645,373,284,0.7800000309944153,0.10656662285327911,0.08950252830982208,0.7800000309944153
1,0,Right,19,0.5668756365776062,0.6059658527374268,-0.004748855251818895,362,290,0.7780000567436218,0.08415398746728897,0.10134907066822052,0.7780000567436218
1,0,Right,20,0.553228497505188,0.6148778200149536,-0.00984184443950653,354,295,0.7830000519752502,0.06848996877670288,0.11212845146656036,0.7830000519752502
