capture_id,hand_index,handedness,gesture,landmark_idx,x_norm,y_norm,z_norm,x_pixel,y_pixel,depth_meters,x_meters,y_meters,z_meters
1,0,Right,OPEN HAND THUMB UP,0,0.7542170882225037,0.8560240268707275,9.815877319852007e-07,482,410,0.3050000071525574,0.12767449021339417,0.13441550731658936,0.3050000071525574
1,0,Right,OPEN HAND THUMB UP,1,0.6931565403938293,0.7289516925811768,-0.06991986185312271,443,349,0.2980000078678131,0.0946783572435379,0.08430439978837967,0.2980000078678131
1,0,Right,OPEN HAND THUMB UP,2,0.6255139112472534,0.6576526761054993,-0.08874840289354324,400,315,0.29100000858306885,0.06008346378803253,0.05672848969697952,0.29100000858306885
1,0,Right,OPEN HAND THUMB UP,3,0.5626092553138733,0.6160285472869873,-0.10100853443145752,360,295,0.28700000047683716,0.029559021815657616,0.04109944403171539,0.28700000047683716
1,0,Right,OPEN HAND THUMB UP,4,0.5070721507072449,0.5754782557487488,-0.1113433986902237,324,276,0.28300002217292786,0.0027908789925277233,0.026616428047418594,0.28300002217292786
1,0,Right,OPEN HAND THUMB UP,5,0.5102111101150513,0.7449313998222351,0.0032518738880753517,326,357,0.0,0.0,0.0,0.0
1,0,Right,OPEN HAND THUMB UP,6,0.4157702624797821,0.7202410697937012,0.005674510262906551,266,345,0.3100000023841858,-0.0434567853808403,0.08449134975671768,0.3100000023841858
1,0,Right,OPEN HAND THUMB UP,7,0.35617977380752563,0.7135900259017944,-0.0072802589274942875,227,342,0.30800002813339233,-0.07425124943256378,0.08155588060617447,0.30800002813339233
1,0,Right,OPEN HAND THUMB UP,8,0.30763566493988037,0.7171116471290588,-0.021993141621351242,196,344,0.3070000112056732,-0.09863047301769257,0.08287948369979858,0.3070000112056732
1,0,Right,OPEN HAND THUMB UP,9,0.5025925040245056,0.8283427357673645,0.02417059801518917,321,397,0.3100000023841858,0.0006512533873319626,0.12619349360466003,0.3100000023841858
1,0,Right,OPEN HAND THUMB UP,10,0.4013482928276062,0.8400970697402954,0.028536967933177948,256,403,0.3110000193119049,-0.051642484962940216,0.13142788410186768,0.3110000193119049
1,0,Right,OPEN HAND THUMB UP,11,0.3363943099975586,0.852016270160675,0.006626943591982126,215,408,0.3110000193119049,-0.08462909609079361,0.13545063138008118,0.3110000193119049
1,0,Right,OPEN HAND THUMB UP,12,0.28754526376724243,0.8682656288146973,-0.014729656279087067,184,416,0.30800002813339233,-0.108513243496418,0.14051836729049683,0.30800002813339233
1,0,Right,OPEN HAND THUMB UP,13,0.5128080248832703,0.908936619758606,0.034149330109357834,328,436,0.31300002336502075,0.006325633730739355,0.15899401903152466,0.31300002336502075
1,0,Right,OPEN HAND THUMB UP,14,0.41597437858581543,0.9378557801246643,0.027644773945212364,266,450,0.31300002336502075,-0.043877337127923965,0.17033016681671143,0.31300002336502075
1,0,Right,OPEN HAND THUMB UP,15,0.3583429455757141,0.9614884853363037,-0.0007932212902233005,229,461,0.31300002336502075,-0.07383717596530914,0.17923715710639954,0.31300002336502075
1,0,Right,OPEN HAND THUMB UP,16,0.3139673173427582,0.9864603877067566,-0.024800429120659828,200,473,0.30900001525878906,-0.09607551991939545,0.18653909862041473,0.30900001525878906
1,0,Right,OPEN HAND THUMB UP,17,0.5358506441116333,0.9826922416687012,0.03643884137272835,342,471,0.3100000023841858,0.0174925047904253,0.18553884327411652,0.3100000023841858
