capture_id,hand_index,handedness,gesture,landmark_idx,x_norm,y_norm,z_norm,x_pixel,y_pixel,depth_meters,x_meters,y_meters,z_meters
1,0,Right,OPEN HAND THUMB SIDE,0,0.4928809702396393,0.8445769548416138,5.962353952781996e-07,315,405,0.3140000104904175,-0.00421421742066741,0.13432028889656067,0.3140000104904175
1,0,Right,OPEN HAND THUMB SIDE,1,0.587898313999176,0.7698902487754822,-0.046982888132333755,376,369,0.3100000023841858,0.04475929215550423,0.10373849421739578,0.3100000023841858
1,0,Right,OPEN HAND THUMB SIDE,2,0.6409229636192322,0.6794404983520508,-0.0569760836660862,410,326,0.30400002002716064,0.07063203305006027,0.06791362911462784,0.30400002002716064
1,0,Right,OPEN HAND THUMB SIDE,3,0.6744877696037292,0.5857573747634888,-0.06641189008951187,431,281,0.3020000159740448,0.08657398074865341,0.03230973705649376,0.3020000159740448
1,0,Right,OPEN HAND THUMB SIDE,4,0.710673987865448,0.5104519128799438,-0.07430512458086014,454,245,0.2970000207424164,0.10281231999397278,0.0041147987358272076,0.2970000207424164
1,0,Right,OPEN HAND THUMB SIDE,5,0.5729199051856995,0.5256066918373108,0.028298405930399895,366,252,0.33000001311302185,0.03910995274782181,0.010547926649451256,0.33000001311302185
1,0,Right,OPEN HAND THUMB SIDE,6,0.5973953008651733,0.4076366424560547,0.028497248888015747,382,195,0.33000001311302185,0.052769217640161514,-0.03811320289969444,0.33000001311302185
1,0,Right,OPEN HAND THUMB SIDE,7,0.6047382950782776,0.33836889266967773,0.016144396737217903,387,162,0.328000009059906,0.05669205263257027,-0.06588371098041534,0.328000009059906
1,0,Right,OPEN HAND THUMB SIDE,8,0.6041389107704163,0.2797031104564667,0.004095908720046282,386,134,0.3270000219345093,0.0556732676923275,-0.08936925232410431,0.3270000219345093
1,0,Right,OPEN HAND THUMB SIDE,9,0.5157662034034729,0.5138927102088928,0.03828324377536774,330,246,0.3320000171661377,0.008427373133599758,0.005458585452288389,0.3320000171661377
1,0,Right,OPEN HAND THUMB SIDE,10,0.5142712593078613,0.38652166724205017,0.044760748744010925,329,185,0.33500000834465027,0.007636885158717632,-0.04735706374049187,0.33500000834465027
1,0,Right,OPEN HAND THUMB SIDE,11,0.5100362300872803,0.31230485439300537,0.030306914821267128,326,149,0.3330000042915344,0.005006896797567606,-0.07808707654476166,0.3330000042915344
